Run	Year	Species	pSpp	Area
1	40	 SC	0.000050	19.500000
1	40	 Me	0.000133	52.000000
1	40	 MeE	0.001499	585.500000
1	40	 MePg	0.000064	25.000000
1	40	 C	0.000012	4.500000
1	40	 CBb	0.000039	15.250000
1	40	 CE	0.000050	19.500000
1	40	 CS	0.000058	22.500000
1	45	 Bb	0.081159	31692.000000
1	45	 BbPe	0.078190	30532.750000
1	45	 BbE	0.016731	6533.500000
1	45	 BbPg	0.001437	561.250000
1	45	 BbS	0.186842	72960.750000
1	45	 Pe	0.004392	1715.000000
1	45	 PeBb	0.056262	21970.000000
1	45	 PeE	0.006433	2512.000000
1	45	 PePg	0.002969	1159.500000
1	45	 PeS	0.001205	470.500000
1	45	 E	0.138184	53960.250000
1	45	 EBb	0.032045	12513.250000
1	45	 EPe	0.019134	7471.750000
1	45	 EPg	0.032614	12735.500000
1	45	 ES	0.044583	17409.250000
1	45	 EMe	0.006971	2722.000000
1	45	 EC	0.000066	25.750000
1	45	 Pg	0.030191	11789.500000
1	45	 PgBb	0.006487	2533.000000
1	45	 PgPe	0.008773	3425.750000
1	45	 PgE	0.186103	72672.250000
1	45	 PgMe	0.000104	40.750000
1	45	 PgS	0.000021	8.250000
1	45	 S	0.018939	7395.500000
1	45	 SBb	0.023654	9236.750000
1	45	 SPe	0.010013	3910.000000
1	45	 SE	0.004353	1699.750000
1	45	 SPg	0.000164	64.000000
1	45	 SMe	0.000077	30.250000
1	45	 SC	0.000050	19.500000
1	45	 Me	0.000133	52.000000
1	45	 MeE	0.001499	585.500000
1	45	 MePg	0.000064	25.000000
1	45	 C	0.000012	4.500000
1	45	 CBb	0.000039	15.250000
1	45	 CE	0.000050	19.500000
1	45	 CS	0.000058	22.500000
1	50	 Bb	0.081159	31692.000000
1	50	 BbPe	0.078190	30532.750000
1	50	 BbE	0.016731	6533.500000
1	50	 BbPg	0.001437	561.250000
1	50	 BbS	0.186842	72960.750000
1	50	 Pe	0.004392	1715.000000
1	50	 PeBb	0.056262	21970.000000
1	50	 PeE	0.006433	2512.000000
1	50	 PePg	0.002969	1159.500000
1	50	 PeS	0.001205	470.500000
1	50	 E	0.138184	53960.250000
1	50	 EBb	0.032045	12513.250000
1	50	 EPe	0.019134	7471.750000
1	50	 EPg	0.032614	12735.500000
1	50	 ES	0.044583	17409.250000
1	50	 EMe	0.006971	2722.000000
1	50	 EC	0.000066	25.750000
1	50	 Pg	0.030191	11789.500000
1	50	 PgBb	0.006487	2533.000000
1	50	 PgPe	0.008773	3425.750000
1	50	 PgE	0.186103	72672.250000
1	50	 PgMe	0.000104	40.750000
1	50	 PgS	0.000021	8.250000
1	50	 S	0.018939	7395.500000
1	50	 SBb	0.023654	9236.750000
1	50	 SPe	0.010013	3910.000000
1	50	 SE	0.004353	1699.750000
1	50	 SPg	0.000164	64.000000
1	50	 SMe	0.000077	30.250000
1	50	 SC	0.000050	19.500000
1	50	 Me	0.000133	52.000000
1	50	 MeE	0.001499	585.500000
1	50	 MePg	0.000064	25.000000
1	50	 C	0.000012	4.500000
1	50	 CBb	0.000039	15.250000
1	50	 CE	0.000050	19.500000
1	50	 CS	0.000058	22.500000
1	55	 Bb	0.081159	31692.000000
1	55	 BbPe	0.078190	30532.750000
1	55	 BbE	0.016731	6533.500000
1	55	 BbPg	0.001437	561.250000
1	55	 BbS	0.186842	72960.750000
1	55	 Pe	0.004392	1715.000000
1	55	 PeBb	0.056262	21970.000000
1	55	 PeE	0.006433	2512.000000
1	55	 PePg	0.002969	1159.500000
1	55	 PeS	0.001205	470.500000
1	55	 E	0.138184	53960.250000
1	55	 EBb	0.032045	12513.250000
1	55	 EPe	0.019134	7471.750000
1	55	 EPg	0.032614	12735.500000
1	55	 ES	0.044583	17409.250000
1	55	 EMe	0.006971	2722.000000
1	55	 EC	0.000066	25.750000
1	55	 Pg	0.030191	11789.500000
1	55	 PgBb	0.006487	2533.000000
1	55	 PgPe	0.008773	3425.750000
1	55	 PgE	0.186103	72672.250000
1	55	 PgMe	0.000104	40.750000
1	55	 PgS	0.000021	8.250000
1	55	 S	0.018939	7395.500000
1	55	 SBb	0.023654	9236.750000
1	55	 SPe	0.010013	3910.000000
1	55	 SE	0.004353	1699.750000
1	55	 SPg	0.000164	64.000000
1	55	 SMe	0.000077	30.250000
1	55	 SC	0.000050	19.500000
1	55	 Me	0.000133	52.000000
1	55	 MeE	0.001499	585.500000
1	55	 MePg	0.000064	25.000000
1	55	 C	0.000012	4.500000
1	55	 CBb	0.000039	15.250000
1	55	 CE	0.000050	19.500000
1	55	 CS	0.000058	22.500000
1	60	 Bb	0.081159	31692.000000
1	60	 BbPe	0.078190	30532.750000
1	60	 BbE	0.016731	6533.500000
1	60	 BbPg	0.001437	561.250000
1	60	 BbS	0.186842	72960.750000
1	60	 Pe	0.004392	1715.000000
1	60	 PeBb	0.056262	21970.000000
1	60	 PeE	0.006433	2512.000000
1	60	 PePg	0.002969	1159.500000
1	60	 PeS	0.001205	470.500000
1	60	 E	0.138184	53960.250000
1	60	 EBb	0.032045	12513.250000
1	60	 EPe	0.019134	7471.750000
1	60	 EPg	0.032614	12735.500000
1	60	 ES	0.044583	17409.250000
1	60	 EMe	0.006971	2722.000000
1	60	 EC	0.000066	25.750000
1	60	 Pg	0.030191	11789.500000
1	60	 PgBb	0.006487	2533.000000
1	60	 PgPe	0.008773	3425.750000
1	60	 PgE	0.186103	72672.250000
1	60	 PgMe	0.000104	40.750000
1	60	 PgS	0.000021	8.250000
1	60	 S	0.018939	7395.500000
1	60	 SBb	0.023654	9236.750000
1	60	 SPe	0.010013	3910.000000
1	60	 SE	0.004353	1699.750000
1	60	 SPg	0.000164	64.000000
1	60	 SMe	0.000077	30.250000
1	60	 SC	0.000050	19.500000
1	60	 Me	0.000133	52.000000
1	60	 MeE	0.001499	585.500000
1	60	 MePg	0.000064	25.000000
1	60	 C	0.000012	4.500000
1	60	 CBb	0.000039	15.250000
1	60	 CE	0.000050	19.500000
1	60	 CS	0.000058	22.500000
1	65	 Bb	0.081159	31692.000000
1	65	 BbPe	0.078190	30532.750000
1	65	 BbE	0.016731	6533.500000
1	65	 BbPg	0.001437	561.250000
1	65	 BbS	0.186842	72960.750000
1	65	 Pe	0.004392	1715.000000
1	65	 PeBb	0.056262	21970.000000
1	65	 PeE	0.006433	2512.000000
1	65	 PePg	0.002969	1159.500000
1	65	 PeS	0.001205	470.500000
1	65	 E	0.138184	53960.250000
1	65	 EBb	0.032045	12513.250000
1	65	 EPe	0.019134	7471.750000
1	65	 EPg	0.032614	12735.500000
1	65	 ES	0.044583	17409.250000
1	65	 EMe	0.006971	2722.000000
1	65	 EC	0.000066	25.750000
1	65	 Pg	0.030191	11789.500000
1	65	 PgBb	0.006487	2533.000000
1	65	 PgPe	0.008773	3425.750000
1	65	 PgE	0.186103	72672.250000
1	65	 PgMe	0.000104	40.750000
1	65	 PgS	0.000021	8.250000
1	65	 S	0.018939	7395.500000
1	65	 SBb	0.023654	9236.750000
1	65	 SPe	0.010013	3910.000000
1	65	 SE	0.004353	1699.750000
1	65	 SPg	0.000164	64.000000
1	65	 SMe	0.000077	30.250000
1	65	 SC	0.000050	19.500000
1	65	 Me	0.000133	52.000000
1	65	 MeE	0.001499	585.500000
1	65	 MePg	0.000064	25.000000
1	65	 C	0.000012	4.500000
1	65	 CBb	0.000039	15.250000
1	65	 CE	0.000050	19.500000
1	65	 CS	0.000058	22.500000
1	70	 Bb	0.081159	31692.000000
1	70	 BbPe	0.078190	30532.750000
1	70	 BbE	0.016731	6533.500000
1	70	 BbPg	0.001437	561.250000
1	70	 BbS	0.186842	72960.750000
1	70	 Pe	0.004392	1715.000000
1	70	 PeBb	0.056262	21970.000000
1	70	 PeE	0.006433	2512.000000
1	70	 PePg	0.002969	1159.500000
1	70	 PeS	0.001205	470.500000
1	70	 E	0.138184	53960.250000
1	70	 EBb	0.032045	12513.250000
1	70	 EPe	0.019134	7471.750000
1	70	 EPg	0.032614	12735.500000
1	70	 ES	0.044583	17409.250000
1	70	 EMe	0.006971	2722.000000
1	70	 EC	0.000066	25.750000
1	70	 Pg	0.030191	11789.500000
1	70	 PgBb	0.006487	2533.000000
1	70	 PgPe	0.008773	3425.750000
1	70	 PgE	0.186103	72672.250000
1	70	 PgMe	0.000104	40.750000
1	70	 PgS	0.000021	8.250000
1	70	 S	0.018939	7395.500000
1	70	 SBb	0.023654	9236.750000
1	70	 SPe	0.010013	3910.000000
1	70	 SE	0.004353	1699.750000
1	70	 SPg	0.000164	64.000000
1	70	 SMe	0.000077	30.250000
1	70	 SC	0.000050	19.500000
1	70	 Me	0.000133	52.000000
1	70	 MeE	0.001499	585.500000
1	70	 MePg	0.000064	25.000000
