Index	AC0-19	AC20-39	AC40-59	AC60-79	AC80-99	AC100-120		
1268	0	0	0	0	0	0	 PgPe	RS21
1269	0	0	0	0	0	0	 PgE	RS21
1275	0	0	0	0	0	0	 S	RS21
1276	0	0	0	0	0	0	 SBb	RS21
1277	0	0	0	0	0	0	 SPe	RS21
1278	0	0.7	0.6	0.3	0.3	0	 SE	RS21
1321	0	0	0	0	0	0	 Bb	RS22
1323	0	0	2.2	2.8	2.8	0	 BbPe	RS22
1324	0	0	0	0	0	0	 BbE	RS22
1325	0	0	0	0	0	0	 BbPg	RS22
1326	0	0	6.3	3.3	2.5	0	 BbS	RS22
1330	0	0	0	0	0	0	 Pe	RS22
1331	0	0	2.3	2.3	1.7	0	 PeBb	RS22
1333	0	0	0	0.2	0	0	 PeE	RS22
1334	0	0	0	0	0	0	 PePg	RS22
1335	0	0	0	0	0	0	 PeS	RS22
1339	0	0	0	0	0	0	 E	RS22
1340	0	0	0	0	0	0	 EBb	RS22
1341	0	0	0	0	0	0	 EPe	RS22
1343	0	0	0.5	0.5	0.5	0	 EPg	RS22
1344	0	0	0	0	0	0	 ES	RS22
1346	0	0	0.2	0.2	0.2	0	 EMe	RS22
1347	0	0	0.1	0.1	0.3	0	 EC	RS22
1348	0	0	0	0	0	0	 Pg	RS22
1349	0	0	0	0	0.8	0	 PgBb	RS22
1350	0	0.1	0.1	0.1	1.2	0	 PgPe	RS22
1351	0	0	0	0	0	0	 PgE	RS22
1357	0	0	0	0	0	0	 S	RS22
1358	0	0	4.8	0	0	0	 SBb	RS22
1359	0	0	0	0	0	0	 SPe	RS22
1360	0	0	1.9	1.5	0.6	0	 SE	RS22
1361	0	0	0	0	0	0	 SPg	RS22
1365	0	0	0	0	0	0	 SC	RS22
1375	0	0	0	0	0	0	 Me	RS22
1378	0	0	0	0	0	0	 MeE	RS22
1385	0	0	0	0	0	0	 CBb	RS22
1387	0	0	0	0	0	0	 CE	RS22
1389	0	0	0	0	0	0	 CS	RS22
1403	0	0	0	0	0	0	 Bb	RS25
1405	0	0	0	0	0	0	 BbPe	RS25
1406	0	0	0	0	0	0	 BbE	RS25
1407	0	0	0	0	0	0	 BbPg	RS25
1408	0	0	3.5	0.1	1.6	0	 BbS	RS25
1412	0	0	0	0	0	0	 Pe	RS25
1413	0	0	0	0	0	0	 PeBb	RS25
1415	0	0	0	0	0	0	 PeE	RS25
1416	0	0	0	0	0	0	 PePg	RS25
1417	0	0	0	0	0	0	 PeS	RS25
1421	0	0	2	2	2	0	 E	RS25
1422	0	0	0	0	0	0	 EBb	RS25
1423	0	0	0	0	0	0	 EPe	RS25
1425	0	0	0	0	0	0	 EPg	RS25
1426	0	0	0	0	0	0	 ES	RS25
1430	0	0	0	0	0	0	 Pg	RS25
1431	0	0	0	0	0	0	 PgBb	RS25
1432	0	0	2.4	2.4	2.4	0	 PgPe	RS25
1433	0	0	0	0	0	0	 PgE	RS25
1439	0	0	0	0	0	0	 S	RS25
1440	0	0	0	0	0	0	 SBb	RS25
