Index	AC0-19	AC20-39	AC40-59	AC60-79	AC80-99	AC100-120	Species	LandUnit	IndexTranslate		
1323	0	2.2	2.8	2.8	6	1.7	11	16	0	 BbPe	RS22
1324	0	5	8	9.8	8.3	8.3	12	16	0	 BbE	RS22
1325	0	0	0	0	0	0	13	16	1349	 BbPg	RS22
1326	0	6.3	7	3.3	2.5	0.7	14	16	0	 BbS	RS22
1330	0	0	0	0	0	0	18	16	1331	 Pe	RS22
1331	0	2.3	2.3	4	1.7	1.7	19	16	0	 PeBb	RS22
1333	0	0	0.2	2.7	0	0	21	16	0	 PeE	RS22
1334	0	0	0	0	0	0	22	16	1350	 PePg	RS22
1335	0	0	0	0	0	0	23	16	1359	 PeS	RS22
1339	0	8.7	13	16.5	33	49.5	27	16	0	 E	RS22
1340	0	17.5	17.5	15.8	12	8.2	28	16	0	 EBb	RS22
1341	0	2.1	2.1	6	8	8.2	29	16	0	 EPe	RS22
1343	0	0.5	0.5	0.5	1.6	1	31	16	0	 EPg	RS22
1344	0	20.6	29.2	22	14	13	32	16	0	 ES	RS22
1346	0	0.2	0.2	0.2	1.3	1.3	34	16	0	 EMe	RS22
1347	0	0.1	0.1	0.3	0.4	0.2	35	16	0	 EC	RS22
1348	0.3	0.3	0.3	0.3	0.3	0	36	16	0	 Pg	RS22
1349	0	0	0	0.8	2.7	0	37	16	0	 PgBb	RS22
1350	0.1	0.1	0.1	1.2	1.2	0	38	16	0	 PgPe	RS22
1351	83	20.8	0.9	0.9	0.9	0	39	16	0	 PgE	RS22
1357	16.6	3.8	0.2	0.2	0	0	45	16	0	 S	RS22
1358	0	5.2	11	8.8	3.1	0.8	46	16	0	 SBb	RS22
1359	0	2.1	2.1	2.1	2.1	2.9	47	16	0	 SPe	RS22
1360	0	1.9	2.2	1.5	0.6	0.6	48	16	0	 SE	RS22
1361	0	0	0	0	0	0	49	16	1357	 SPg	RS22
1365	0	0	0	0	0	0	53	16	1389	 SC	RS22
1375	0	0	0	0	0	0	63	16	1346	 Me	RS22
1378	0	0	0	0	0	0	66	16	1346	 MeE	RS22
1385	0	0	0	0	0	0	73	16	1389	 CBb	RS22
1387	0	0	0	0	0	0	75	16	1389	 CE	RS22
1389	0	0.3	0.3	0.3	0.3	1.9	77	16	0	 CS	RS22
1403	0	0	0	0	0	0	9	17	1405	 Bb	RS25
1405	0	14.2	14.2	14.2	14.2	15	11	17	0	 BbPe	RS25
1406	0	0	8.5	9.5	10.6	35	12	17	0	 BbE	RS25
1407	0	0	0	3.8	0	0	13	17	0	 BbPg	RS25
1408	0	3.5	6.8	6.8	1.6	0	14	17	0	 BbS	RS25
1412	0	0	0	0	0	0	18	17	1413	 Pe	RS25
1413	1.4	13	20	21	22	12.6	19	17	0	 PeBb	RS25
1415	0	1	7.9	11	9.4	0	21	17	0	 PeE	RS25
1416	0	0	0	0	0	0	22	17	1432	 PePg	RS25
1417	0	2	1.3	1	1	1	23	17	0	 PeS	RS25
1421	0	2	2	2	3	3	27	17	0	 E	RS25
1422	0	12	12	12	12	17.4	28	17	0	 EBb	RS25
1423	0	1.5	8.2	8.2	9.2	10	29	17	0	 EPe	RS25
1425	0	0	0	0	0	0	31	17	1432	 EPg	RS25
1426	0	15	1.7	0	0	0	32	17	0	 ES	RS25
1430	0	0	0	0	0	0	36	17	1431	 Pg	RS25
1431	0	3.6	3.6	3.6	3.6	0	37	17	0	 PgBb	RS25
1432	0	2.4	2.4	2.4	7.2	0	38	17	0	 PgPe	RS25
1433	91.3	29	0.1	0.1	0.1	0	39	17	0	 PgE	RS25
1439	7.3	0.8	0	0	0	0	45	17	0	 S	RS25
1440	0	0	11.3	3.6	3.6	0	46	17	0	 SBb	RS25
1441	0	0	0	0.8	2.5	6	47	17	0	 SPe	RS25
1442	0	0	0	0	0	0	48	17	1426	 SE	RS25
1548	0	0	100	0	0	0	72	18	0	 CC	RS2A
1553	0	0	0	100	0	0	77	18	0	 CS	RS2A
1569	0	0	12	0	0	0	11	19	0	 BbPe	RC38
1571	0	8.4	8.4	20	20	37.4	13	19	0	 BbPg	RC38
1580	0	21.6	21.6	21.6	21.6	21.6	22	19	0	 PePg	RC38
1589	0	0	0	14.7	19	0	31	19	0	 EPg	RC38
1594	0	0	0	14.7	28.4	0	36	19	0	 Pg	RC38
1595	0	40	53	24	6.2	6.2	37	19	0	 PgBb	RC38
1596	0	0	0	0	0	30	38	19	0	 PgPe	RC38
1597	100	30	5	5	4.8	4.8	39	19	0	 PgE	RC38
1602	0	0	0	0	0	0	44	19	1594	 PgMe	RC38
